neutral/0,neutral/1,realization/0,realization/1,fear/0,fear/1,excitement/0,excitement/1,surprise/0,surprise/1,joy/0,joy/1,amusement/0,amusement/1,love/0,love/1,annoyance/0,annoyance/1,admiration/0,admiration/1,sadness/0,sadness/1,gratitude/0,gratitude/1,confusion/0,confusion/1,disapproval/0,disapproval/1,remorse/0,remorse/1,error/0,error/1,caring/0,caring/1,nervousness/0,nervousness/1,desire/0,desire/1,approval/0,approval/1,disgust/0,disgust/1,embarrassment/0,embarrassment/1,anger/0,anger/1,optimism/0,optimism/1,curiosity/0,curiosity/1,pride/0,pride/1,disappointment/0,disappointment/1
turkey,1805,realized,12,drew,12,base,7,amazing,12,know,8,funny,44,obviously,11,fuck,12,construction,19,sadly,12,anything,72,sorry,3,depriving,6,relief,3,,,careful,4,ah,2,interest,5,1,14,civilian,5,seized,5,hate,9,never,11,,,,,know,5
blocked,1739,survive,12,coverage,12,well,7,call,11,pleasure,8,ukraine,41,island,11,obtained,11,company,19,last,10,increasing,68,bit,3,country,6,package,3,,,value,4,yes,2,hill,5,sincerely,14,targeting,5,region,5,mass,8,people,9,,,,,two,5
people,1661,without,12,fatigue,12,better,7,war,10,war,8,comedian,24,future,11,objective,11,tory,19,russian,9,address,64,h,2,wheat,6,promised,3,,,city,4,boy,2,read,4,belief,14,normalized,5,world,5,july,8,like,9,,,,,lysychansk,4
kyiv,1585,strong,12,afraid,10,ready,7,party,10,footage,8,day,23,seat,11,send,11,donor,19,u,9,thanked,61,nazi,1,export,6,bigger,3,,,london,4,th,2,class,4,totally,14,corrupted,5,imagine,4,4th,8,next,8,,,,,fall,4
would,1584,external,12,get,9,another,7,visit,8,lysyschansk,8,think,23,photo,10,41,11,lining,19,death,9,courage,58,jew,1,totally,6,kickback,3,,,warmonger,4,johnson,1,still,4,entire,14,country,5,angela,4,wtf,8,someone,8,,,,,failing,4
visit,1578,clearly,12,terrible,9,release,7,trouble,8,hoe,8,alleged,21,one,10,soros,11,awarded,19,west,8,supporting,55,get,1,irresponsible,6,pocket,3,,,hold,4,press,1,constitution,4,ok,14,azov,4,rayner,4,brexit,8,reminded,8,,,,,america,4
luhansk,1571,conditional,12,look,9,video,7,made,8,citizen,8,shooter,21,amp,10,imbecility,11,johnson,18,military,8,ban,55,ironic,1,photo,5,politiques,3,,,heart,4,publicity,1,offered,4,better,13,nazi,4,meeting,4,money,7,mogg,8,,,,,everytime,4
today,1440,boris,11,money,9,military,7,know,8,russian,8,picture,21,people,10,continues,11,best,18,country,8,lysychansk,54,utterly,1,false,5,puppet,3,,,pray,4,button,1,change,4,u,13,indeed,4,president,4,got,7,king,8,,,,,incompetent,4
july,1432,johnson,10,telling,8,band,7,hand,6,army,8,room,21,loving,9,lugano,11,job,18,great,8,fb,54,clueless,1,also,4,hide,3,,,one,4,talking,1,agency,3,billion,13,get,4,leader,4,democracy,7,johnson,8,,,,,also,4
recovery,1429,germany,9,still,8,playing,7,johnson,6,current,8,russia,18,look,8,switzerland,11,opposite,17,die,7,post,54,ppl,1,recall,4,money,3,,,life,4,also,1,please,3,strongly,13,blower,4,biden,4,even,7,also,8,,,,,getting,4
johnson,1428,hello,9,come,8,star,7,celebrity,6,come,8,really,17,johnson,8,conference,11,50,17,russia,6,au,54,rea,1,intervention,4,tax,3,,,k,4,prepare,1,russia,3,left,13,today,4,promise,4,know,7,nato,8,,,,,disappointed,4
